case_id,deliktart,tatmittel,tatort_stadt,tatort_urban,tatzeit,tatzeit_nacht,geraet_typ,mobilfunk_provider,cell_id,ip_adresse,schadenshoehe_eur,anzahl_verdaechtige,vorstrafen_bekannt,kommunikation_events,netzwerk_score,vorplanungszeit_h,digitale_spuren,gps_daten_vorhanden,video_cctv,osint_hinweise,risiko_klasse
BW-2025-00000,Raub,keines,Pforzheim,0,2025-01-07 09:00:00,0,Tablet,O2,70981,84.162.58.137,4741.79,2,2,30,0.752,6.51,1,0,1,0,mittel
BW-2025-00001,Einbruchdiebstahl,Laptop,Heilbronn,1,2025-10-17 15:00:00,0,Laptop,O2,42780,127.243.49.3,2187.08,1,2,13,0.843,8.65,1,1,0,0,mittel
BW-2025-00002,Cybercrime,Fahrzeug,Ulm,0,2025-06-11 22:00:00,1,Tablet,Telekom,59986,157.105.134.152,622.52,2,0,21,0.739,11.75,1,0,1,0,mittel
BW-2025-00003,Drogenhandel,Online-Plattform,Pforzheim,0,2025-07-07 09:00:00,0,iPhone,1&1,11061,155.224.185.95,1911.1,2,2,8,0.284,11.18,0,1,0,1,mittel
BW-2025-00004,Betrug,keines,Pforzheim,0,2025-05-30 12:00:00,0,Android Smartphone,O2,93442,59.172.125.123,5346.17,2,0,17,0.233,14.64,1,0,1,0,mittel
BW-2025-00005,Cybercrime,Brecheisen,Karlsruhe,1,2025-10-28 22:00:00,1,iPhone,O2,14373,159.94.242.228,554.23,2,1,22,0.511,7.02,0,0,0,1,niedrig
BW-2025-00006,Drogenhandel,Brecheisen,Karlsruhe,1,2025-10-11 15:00:00,0,Laptop,O2,33021,62.103.73.181,0.0,3,0,16,0.311,14.88,0,0,1,1,mittel
BW-2025-00007,Einbruchdiebstahl,Phishing-Mail,Pforzheim,0,2025-11-25 22:00:00,1,Android Smartphone,O2,48684,202.30.131.102,6890.6,1,3,36,0.567,8.21,1,1,0,0,mittel
BW-2025-00008,Drogenhandel,Laptop,Heilbronn,1,2025-06-04 00:00:00,1,iPhone,Vodafone,98647,196.102.68.42,7194.74,1,1,19,0.45,15.49,0,0,0,1,mittel
BW-2025-00009,Sachbeschädigung,Phishing-Mail,Karlsruhe,1,2025-06-30 12:00:00,0,Tablet,Telekom,80329,42.163.130.232,1594.5,1,2,12,0.579,2.83,1,0,0,0,niedrig
BW-2025-00010,Körperverletzung,Phishing-Mail,Pforzheim,0,2025-09-11 14:00:00,0,Desktop PC,1&1,24201,183.194.22.160,6220.18,2,4,48,0.734,0.0,1,1,1,1,hoch
BW-2025-00011,Raub,keines,Stuttgart,1,2025-06-01 02:00:00,1,Desktop PC,O2,94889,27.46.253.229,3433.72,2,0,25,0.435,7.47,1,1,1,1,mittel
BW-2025-00012,Körperverletzung,Online-Plattform,Ulm,0,2025-01-31 22:00:00,1,iPhone,Vodafone,14877,88.234.214.69,269.6,2,1,26,0.601,0.48,1,0,0,0,niedrig
BW-2025-00013,Körperverletzung,Laptop,Karlsruhe,1,2025-09-23 07:00:00,0,Android Smartphone,Vodafone,69459,105.250.156.91,8346.03,1,2,46,0.516,27.68,1,1,0,1,hoch
BW-2025-00014,Sachbeschädigung,Brecheisen,Ulm,0,2025-10-06 14:00:00,0,iPhone,1&1,46666,19.96.24.51,1541.87,1,3,30,0.811,0.36,1,1,0,1,mittel
BW-2025-00015,Drogenhandel,Fahrzeug,Heilbronn,1,2025-09-05 14:00:00,0,Tablet,Vodafone,23022,186.136.189.236,3961.58,2,1,30,0.6,12.08,0,0,1,1,mittel
BW-2025-00016,Drogenhandel,Phishing-Mail,Stuttgart,1,2025-05-10 13:00:00,0,Tablet,O2,26011,221.254.47.222,1551.69,1,0,16,0.131,8.2,0,1,0,0,niedrig
BW-2025-00017,Körperverletzung,Laptop,Heidelberg,0,2025-02-04 12:00:00,0,Desktop PC,Telekom,53713,73.90.135.227,2790.13,2,2,30,0.306,0.99,0,0,1,0,niedrig
BW-2025-00018,Einbruchdiebstahl,Fahrzeug,Karlsruhe,1,2025-05-28 10:00:00,0,Desktop PC,Vodafone,40539,95.28.122.134,4191.73,3,3,34,0.379,3.57,0,1,0,0,mittel
BW-2025-00019,Einbruchdiebstahl,Smartphone,Pforzheim,0,2025-06-21 02:00:00,1,Android Smartphone,Vodafone,32871,39.36.34.14,1778.97,1,0,20,0.269,7.11,0,1,0,0,niedrig
BW-2025-00020,Betrug,Brecheisen,Stuttgart,1,2025-08-10 00:00:00,1,Laptop,Vodafone,12068,55.155.102.46,11195.49,3,2,45,0.499,26.29,1,0,1,1,hoch
BW-2025-00021,Cybercrime,Smartphone,Mannheim,1,2025-02-13 09:00:00,0,Tablet,Telekom,72422,125.194.42.22,1872.94,3,4,15,0.59,7.95,1,1,0,0,niedrig
BW-2025-00022,Drogenhandel,Laptop,Heilbronn,1,2025-01-30 14:00:00,0,Desktop PC,Vodafone,96363,144.125.211.179,3912.56,1,0,51,0.177,14.12,1,0,0,0,mittel
BW-2025-00023,Cybercrime,keines,Stuttgart,1,2025-10-02 04:00:00,1,iPhone,1&1,65872,186.164.21.229,0.0,3,0,16,0.449,0.0,0,0,0,0,niedrig
BW-2025-00024,Diebstahl,keines,Heilbronn,1,2025-08-08 21:00:00,0,iPhone,Telekom,89730,48.249.52.191,2836.12,2,2,9,0.503,0.83,0,1,1,0,niedrig
BW-2025-00025,Diebstahl,Brecheisen,Pforzheim,0,2025-09-18 00:00:00,1,Desktop PC,O2,88301,146.210.146.166,7483.69,3,2,20,0.958,37.2,1,0,0,1,hoch
